feature_pair,correlation_coefficient
"('amplitude__percentage_of_reoccurring_values_to_all_values', 'amplitude__ratio_value_number_to_time_series_length')",-0.9994979985466941
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""')",0.9994741890117937
"('amplitude__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)')",0.9993423100811178
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""', 'amplitude__linear_trend__attr_""slope""')",-0.9992706906809461
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""', 'amplitude__linear_trend__attr_""intercept""')",0.9992698893891042
"('amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)')",0.9992507010203009
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""')",-0.9991710119984138
"('amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)')",0.9991243026300518
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4')",0.9989551470123482
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)')",0.99894902453617
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9987031757140336
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""', 'amplitude__linear_trend__attr_""slope""')",0.9983685681202243
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""', 'amplitude__linear_trend__attr_""intercept""')",-0.9983673352498162
"('amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9983528722403386
"('amplitude__percentage_of_reoccurring_datapoints_to_all_datapoints', 'amplitude__percentage_of_reoccurring_values_to_all_values')",0.9983140400393004
"('amplitude__percentage_of_reoccurring_datapoints_to_all_datapoints', 'amplitude__ratio_value_number_to_time_series_length')",-0.9982353076000797
"('amplitude__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)')",0.9978451717732185
"('amplitude__ar_coefficient__coeff_4__k_10', 'amplitude__ar_coefficient__coeff_5__k_10')",-0.9972518076909459
"('amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)')",0.9971913907556927
"('amplitude__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)')",0.997097481640545
"('amplitude__linear_trend__attr_""stderr""', 'amplitude__standard_deviation')",0.99707003396135
"('amplitude__linear_trend__attr_""stderr""', 'amplitude__root_mean_square')",0.9970700339613497
"('amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)')",0.9967575919445512
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0')",0.9966833081695102
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2')",0.9965745242479528
"('amplitude__quantile__q_0.2', 'amplitude__quantile__q_0.8')",-0.9961885385114156
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)')",0.9961578441852211
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2')",0.9960336551459955
"('amplitude__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)')",0.9959837883239907
"('amplitude__ar_coefficient__coeff_5__k_10', 'amplitude__ar_coefficient__coeff_6__k_10')",-0.9959832968447447
"('amplitude__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)')",0.9959209997418691
"('amplitude__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)')",0.9959122201543058
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""', 'amplitude__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""')",0.9958511417842366
"('amplitude__permutation_entropy__dimension_4__tau_1', 'amplitude__permutation_entropy__dimension_5__tau_1')",0.995805655356113
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2')",0.9956748677635893
"('amplitude__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)')",0.9956372801046193
"('amplitude__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)')",0.9956243486260055
"('amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9953214711770055
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4')",0.9951898044366855
"('amplitude__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)')",0.9949859072242129
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2')",0.9947488834763929
"('amplitude__ar_coefficient__coeff_4__k_10', 'amplitude__ar_coefficient__coeff_6__k_10')",0.9943357783107546
"('amplitude__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)')",0.9943243914899367
"('amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2')",0.9942024830252487
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)')",0.9941388798915831
"('amplitude__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)')",0.9937913136830333
"('amplitude__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""', 'amplitude__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""')",0.9936459875193278
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0')",0.9935766744606044
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4')",0.9935743046118279
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0')",0.9934295294904613
"('amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)')",0.9931905545193498
"('amplitude__permutation_entropy__dimension_6__tau_1', 'amplitude__permutation_entropy__dimension_7__tau_1')",0.9929440698884513
"('amplitude__permutation_entropy__dimension_5__tau_1', 'amplitude__permutation_entropy__dimension_6__tau_1')",0.9928150315635498
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""', 'amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""')",0.9926177777535566
"('amplitude__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9924390888343116
"('amplitude__cid_ce__normalize_False', 'amplitude__mean_abs_change')",0.992376153609973
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0', 'amplitude__cid_ce__normalize_False')",0.992376153609973
"('amplitude__absolute_sum_of_changes', 'amplitude__cid_ce__normalize_False')",0.9923736066270817
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2')",0.9923235635514384
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)')",0.9920280044438062
"('amplitude__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)')",0.9919035769862721
"('amplitude__ar_coefficient__coeff_6__k_10', 'amplitude__ar_coefficient__coeff_7__k_10')",-0.9918039284600131
"('amplitude__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)')",0.9917028910510041
"('amplitude__quantile__q_0.1', 'amplitude__quantile__q_0.9')",-0.9916016347002015
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""', 'amplitude__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""')",0.9914855168490535
"('amplitude__ar_coefficient__coeff_3__k_10', 'amplitude__ar_coefficient__coeff_4__k_10')",-0.9914228734791395
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0')",0.9908237878423062
"('amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9904136097801768
"('amplitude__ar_coefficient__coeff_2__k_10', 'amplitude__ar_coefficient__coeff_3__k_10')",-0.9903370424628025
"('amplitude__number_peaks__n_1', 'amplitude__permutation_entropy__dimension_3__tau_1')",0.9902376434843184
"('amplitude__ar_coefficient__coeff_5__k_10', 'amplitude__ar_coefficient__coeff_7__k_10')",0.9900549593606354
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4')",0.9899950362855677
"('amplitude__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)')",0.9899556210787878
"('amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4')",0.9896814556356608
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2')",0.9895825390273667
"('amplitude__ar_coefficient__coeff_3__k_10', 'amplitude__ar_coefficient__coeff_5__k_10')",0.9889458827284235
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6')",0.9886742946394753
"('amplitude__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)')",0.9885790827871914
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4')",0.9881491150596666
"('amplitude__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)')",0.9881456027653199
"('amplitude__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)')",0.9880726296342305
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""', 'amplitude__linear_trend__attr_""stderr""')",0.9879620204970175
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""', 'amplitude__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""')",0.9872888152751118
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4')",0.9871902906312816
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4')",0.9871410656022185
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4')",0.9871345515893816
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4', 'amplitude__mean_abs_change')",0.9871345515893816
"('amplitude__quantile__q_0.1', 'amplitude__standard_deviation')",-0.9870883378759528
"('amplitude__quantile__q_0.1', 'amplitude__root_mean_square')",-0.9870883378759528
"('amplitude__abs_energy', 'amplitude__quantile__q_0.2')",-0.9868539762602805
"('amplitude__quantile__q_0.2', 'amplitude__variance')",-0.9868441854484131
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6')",0.9868335025395779
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)')",0.9868228030439158
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""', 'amplitude__linear_trend__attr_""stderr""')",0.9867600893696264
"('amplitude__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)')",0.9862788497244986
"('amplitude__quantile__q_0.9', 'amplitude__root_mean_square')",0.9862258532849268
"('amplitude__quantile__q_0.9', 'amplitude__standard_deviation')",0.9862258532849263
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6')",0.9862114608772188
"('amplitude__agg_autocorrelation__f_agg_""mean""__maxlag_40', 'amplitude__agg_autocorrelation__f_agg_""median""__maxlag_40')",0.9861522413057384
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""', 'amplitude__standard_deviation')",0.9859154977992974
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""', 'amplitude__root_mean_square')",0.9859154977992974
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""', 'amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""')",0.9858611630004213
"('amplitude__matrix_profile__feature_""75""__threshold_0.98', 'amplitude__matrix_profile__feature_""mean""__threshold_0.98')",0.9857667826421124
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""', 'amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""')",0.9857606394765864
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0')",0.9855393293175394
"('amplitude__abs_energy', 'amplitude__quantile__q_0.8')",0.9854749414238091
"('amplitude__quantile__q_0.8', 'amplitude__variance')",0.9854653621758689
"('amplitude__ar_coefficient__coeff_7__k_10', 'amplitude__ar_coefficient__coeff_8__k_10')",-0.9851128721470384
"('amplitude__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)')",0.9849109289296183
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""', 'amplitude__root_mean_square')",0.9849069456647318
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""', 'amplitude__standard_deviation')",0.9849069456647316
"('amplitude__linear_trend__attr_""stderr""', 'amplitude__quantile__q_0.1')",-0.9846315308366462
"('amplitude__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)')",0.984569921047841
"('amplitude__quantile__q_0.3', 'amplitude__quantile__q_0.7')",-0.9845196626908057
"('amplitude__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9843419701993795
"('amplitude__linear_trend__attr_""stderr""', 'amplitude__quantile__q_0.9')",0.9840562029474357
"('amplitude__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)')",0.9837468301522185
"('amplitude__permutation_entropy__dimension_4__tau_1', 'amplitude__permutation_entropy__dimension_6__tau_1')",0.9836141368542121
"('amplitude__permutation_entropy__dimension_3__tau_1', 'amplitude__permutation_entropy__dimension_6__tau_1')",0.9835980118652634
"('amplitude__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)')",0.983194853857672
"('amplitude__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)')",0.9831722018881015
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2')",0.9823013943880278
"('amplitude__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""', 'amplitude__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""')",0.982101379579326
"('amplitude__ar_coefficient__coeff_4__k_10', 'amplitude__ar_coefficient__coeff_7__k_10')",-0.98204484710683
"('amplitude__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)')",0.98186901087032
"('amplitude__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)')",0.9813443818385135
"('amplitude__permutation_entropy__dimension_3__tau_1', 'amplitude__permutation_entropy__dimension_7__tau_1')",0.9810379029873146
"('amplitude__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)')",0.9808745487813691
"('amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4', 'amplitude__number_crossing_m__m_-1')",0.9808579696904192
"('amplitude__permutation_entropy__dimension_3__tau_1', 'amplitude__permutation_entropy__dimension_4__tau_1')",0.9808561197637115
"('amplitude__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)')",0.9808086156534996
"('amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0')",0.9803255631770498
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""', 'amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""')",0.9803252181910447
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0')",0.9802860556174599
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0')",0.9802791635020763
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0', 'amplitude__mean_abs_change')",0.9802791635020763
"('amplitude__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)', 'amplitude__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)')",0.9802227736979278
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6')",0.9799379354548134
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6')",0.9799372693889153
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6', 'amplitude__mean_abs_change')",0.9799372693889153
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0')",0.9798354621484516
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0', 'amplitude__mean_abs_change')",0.9798241583960842
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0')",0.9798241583960842
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2', 'amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4')",0.9796576068327617
"('amplitude__ar_coefficient__coeff_3__k_10', 'amplitude__ar_coefficient__coeff_6__k_10')",-0.9790215077937193
"('amplitude__matrix_profile__feature_""25""__threshold_0.98', 'amplitude__matrix_profile__feature_""median""__threshold_0.98')",0.97900180520717
"('amplitude__autocorrelation__lag_1', 'amplitude__cid_ce__normalize_True')",-0.9788932530696139
"('amplitude__cid_ce__normalize_True', 'amplitude__partial_autocorrelation__lag_1')",-0.9788932530696136
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2', 'amplitude__mean_abs_change')",0.9787344903144137
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2')",0.9787344903144137
"('amplitude__absolute_sum_of_changes', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2')",0.9787275067175994
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""', 'amplitude__cid_ce__normalize_False')",0.9784893648048529
"('amplitude__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""', 'amplitude__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6')",0.9782997710653472
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0', 'amplitude__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4')",0.9781130646805617
"('amplitude__autocorrelation__lag_2', 'amplitude__cid_ce__normalize_True')",-0.9780170352279439
"('amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4', 'amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6')",0.9777315234563362
