id,datetime,station,channel,event_mseed,filename,label
5,2017-10-18 02:25:14.788,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0225 14.788000.mseed,20171018 0225 14.788000.mseed,0
5,2017-10-18 02:25:14.860,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0225 14.860000.mseed,20171018 0225 14.860000.mseed,0
6,2017-10-18 02:31:34.541,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0231 34.541000.mseed,20171018 0231 34.541000.mseed,0
6,2017-10-18 02:31:33.320,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0231 33.320000.mseed,20171018 0231 33.320000.mseed,0
6,2017-10-18 02:31:34.231,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0231 34.231000.mseed,20171018 0231 34.231000.mseed,0
7,2017-10-18 02:33:06.669,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0233 06.669000.mseed,20171018 0233 06.669000.mseed,0
7,2017-10-18 02:33:06.644,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0233 06.644000.mseed,20171018 0233 06.644000.mseed,0
7,2017-10-18 02:33:05.075,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0233 05.075000.mseed,20171018 0233 05.075000.mseed,0
7,2017-10-18 02:33:06.282,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0233 06.282000.mseed,20171018 0233 06.282000.mseed,0
8,2017-10-18 02:35:25.881,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0235 25.881000.mseed,20171018 0235 25.881000.mseed,1
8,2017-10-18 02:35:26.006,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0235 26.006000.mseed,20171018 0235 26.006000.mseed,0
8,2017-10-18 02:35:26.276,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0235 26.276000.mseed,20171018 0235 26.276000.mseed,0
8,2017-10-18 02:35:27.001,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0235 27.001000.mseed,20171018 0235 27.001000.mseed,0
9,2017-10-18 02:37:30.668,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0237 30.668000.mseed,20171018 0237 30.668000.mseed,0
9,2017-10-18 02:37:31.643,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0237 31.643000.mseed,20171018 0237 31.643000.mseed,1
9,2017-10-18 02:37:31.950,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0237 31.950000.mseed,20171018 0237 31.950000.mseed,0
9,2017-10-18 02:37:32.216,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0237 32.216000.mseed,20171018 0237 32.216000.mseed,0
10,2017-10-18 02:44:34.204,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0244 34.204000.mseed,20171018 0244 34.204000.mseed,1
10,2017-10-18 02:44:34.487,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0244 34.487000.mseed,20171018 0244 34.487000.mseed,0
10,2017-10-18 02:44:33.776,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0244 33.776000.mseed,20171018 0244 33.776000.mseed,1
11,2017-10-18 02:45:07.958,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0245 07.958000.mseed,20171018 0245 07.958000.mseed,1
11,2017-10-18 02:45:08.851,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0245 08.851000.mseed,20171018 0245 08.851000.mseed,1
11,2017-10-18 02:45:09.156,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0245 09.156000.mseed,20171018 0245 09.156000.mseed,1
11,2017-10-18 02:45:09.221,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0245 09.221000.mseed,20171018 0245 09.221000.mseed,0
12,2017-10-18 02:47:19.399,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0247 19.399000.mseed,20171018 0247 19.399000.mseed,1
12,2017-10-18 02:47:20.384,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0247 20.384000.mseed,20171018 0247 20.384000.mseed,1
12,2017-10-18 02:47:20.673,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0247 20.673000.mseed,20171018 0247 20.673000.mseed,1
12,2017-10-18 02:47:20.708,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0247 20.708000.mseed,20171018 0247 20.708000.mseed,0
13,2017-10-18 02:52:49.696,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0252 49.696000.mseed,20171018 0252 49.696000.mseed,0
13,2017-10-18 02:52:49.527,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0252 49.527000.mseed,20171018 0252 49.527000.mseed,1
13,2017-10-18 02:52:48.327,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0252 48.327000.mseed,20171018 0252 48.327000.mseed,1
13,2017-10-18 02:52:49.287,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0252 49.287000.mseed,20171018 0252 49.287000.mseed,0
14,2017-10-18 02:54:45.925,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0254 45.925000.mseed,20171018 0254 45.925000.mseed,0
14,2017-10-18 02:54:46.871,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0254 46.871000.mseed,20171018 0254 46.871000.mseed,0
14,2017-10-18 02:54:47.110,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0254 47.110000.mseed,20171018 0254 47.110000.mseed,0
14,2017-10-18 02:54:47.112,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0254 47.112000.mseed,20171018 0254 47.112000.mseed,0
15,2017-10-18 02:55:55.671,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0255 55.671000.mseed,20171018 0255 55.671000.mseed,1
15,2017-10-18 02:55:56.493,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0255 56.493000.mseed,20171018 0255 56.493000.mseed,0
15,2017-10-18 02:55:56.738,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0255 56.738000.mseed,20171018 0255 56.738000.mseed,0
15,2017-10-18 02:55:56.847,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0255 56.847000.mseed,20171018 0255 56.847000.mseed,0
16,2017-10-18 03:01:11.775,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0301 11.775000.mseed,20171018 0301 11.775000.mseed,0
16,2017-10-18 03:01:11.580,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0301 11.580000.mseed,20171018 0301 11.580000.mseed,0
16,2017-10-18 03:01:10.329,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0301 10.329000.mseed,20171018 0301 10.329000.mseed,0
16,2017-10-18 03:01:11.236,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0301 11.236000.mseed,20171018 0301 11.236000.mseed,0
16,2017-10-18 03:01:11.509,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0301 11.509000.mseed,20171018 0301 11.509000.mseed,0
17,2017-10-18 03:03:22.700,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0303 22.700000.mseed,20171018 0303 22.700000.mseed,1
17,2017-10-18 03:03:23.654,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0303 23.654000.mseed,20171018 0303 23.654000.mseed,0
17,2017-10-18 03:03:23.966,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0303 23.966000.mseed,20171018 0303 23.966000.mseed,1
17,2017-10-18 03:03:23.991,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0303 23.991000.mseed,20171018 0303 23.991000.mseed,0
18,2017-10-18 03:04:23.780,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0304 23.780000.mseed,20171018 0304 23.780000.mseed,0
18,2017-10-18 03:04:23.684,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0304 23.684000.mseed,20171018 0304 23.684000.mseed,0
18,2017-10-18 03:04:22.527,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0304 22.527000.mseed,20171018 0304 22.527000.mseed,1
18,2017-10-18 03:04:23.457,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0304 23.457000.mseed,20171018 0304 23.457000.mseed,0
19,2017-10-18 03:05:41.391,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0305 41.391000.mseed,20171018 0305 41.391000.mseed,1
19,2017-10-18 03:05:42.378,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0305 42.378000.mseed,20171018 0305 42.378000.mseed,3
19,2017-10-18 03:05:42.695,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0305 42.695000.mseed,20171018 0305 42.695000.mseed,3
19,2017-10-18 03:05:42.709,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0305 42.709000.mseed,20171018 0305 42.709000.mseed,0
19,2017-10-18 03:05:43.316,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0305 43.316000.mseed,20171018 0305 43.316000.mseed,0
20,2017-10-18 03:06:45.093,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0306 45.093000.mseed,20171018 0306 45.093000.mseed,0
20,2017-10-18 03:06:45.388,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0306 45.388000.mseed,20171018 0306 45.388000.mseed,1
20,2017-10-18 03:06:45.737,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0306 45.737000.mseed,20171018 0306 45.737000.mseed,1
20,2017-10-18 03:06:45.850,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0306 45.850000.mseed,20171018 0306 45.850000.mseed,0
21,2017-10-18 03:09:34.476,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0309 34.476000.mseed,20171018 0309 34.476000.mseed,0
21,2017-10-18 03:09:35.397,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0309 35.397000.mseed,20171018 0309 35.397000.mseed,0
21,2017-10-18 03:09:35.674,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0309 35.674000.mseed,20171018 0309 35.674000.mseed,0
21,2017-10-18 03:09:35.765,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0309 35.765000.mseed,20171018 0309 35.765000.mseed,0
22,2017-10-18 03:11:29.806,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0311 29.806000.mseed,20171018 0311 29.806000.mseed,0
22,2017-10-18 03:11:29.748,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0311 29.748000.mseed,20171018 0311 29.748000.mseed,0
22,2017-10-18 03:11:30.113,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0311 30.113000.mseed,20171018 0311 30.113000.mseed,0
22,2017-10-18 03:11:28.903,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0311 28.903000.mseed,20171018 0311 28.903000.mseed,0
22,2017-10-18 03:11:29.516,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0311 29.516000.mseed,20171018 0311 29.516000.mseed,0
23,2017-10-18 03:14:50.100,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0314 50.100000.mseed,20171018 0314 50.100000.mseed,1
23,2017-10-18 03:14:50.396,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0314 50.396000.mseed,20171018 0314 50.396000.mseed,0
23,2017-10-18 03:14:48.862,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0314 48.862000.mseed,20171018 0314 48.862000.mseed,1
23,2017-10-18 03:14:49.802,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0314 49.802000.mseed,20171018 0314 49.802000.mseed,1
24,2017-10-18 03:27:20.087,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0327 20.087000.mseed,20171018 0327 20.087000.mseed,1
24,2017-10-18 03:27:21.286,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0327 21.286000.mseed,20171018 0327 21.286000.mseed,0
25,2017-10-18 03:30:38.575,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0330 38.575000.mseed,20171018 0330 38.575000.mseed,0
25,2017-10-18 03:30:38.991,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0330 38.991000.mseed,20171018 0330 38.991000.mseed,1
25,2017-10-18 03:30:39.271,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0330 39.271000.mseed,20171018 0330 39.271000.mseed,1
25,2017-10-18 03:30:39.572,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0330 39.572000.mseed,20171018 0330 39.572000.mseed,0
26,2017-10-18 03:32:51.863,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0332 51.863000.mseed,20171018 0332 51.863000.mseed,0
26,2017-10-18 03:32:52.319,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0332 52.319000.mseed,20171018 0332 52.319000.mseed,0
26,2017-10-18 03:32:50.542,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0332 50.542000.mseed,20171018 0332 50.542000.mseed,0
26,2017-10-18 03:32:51.461,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0332 51.461000.mseed,20171018 0332 51.461000.mseed,0
27,2017-10-18 03:33:44.999,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0333 44.999000.mseed,20171018 0333 44.999000.mseed,0
27,2017-10-18 03:33:45.309,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0333 45.309000.mseed,20171018 0333 45.309000.mseed,1
27,2017-10-18 03:33:45.636,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0333 45.636000.mseed,20171018 0333 45.636000.mseed,0
28,2017-10-18 03:34:27.301,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0334 27.301000.mseed,20171018 0334 27.301000.mseed,0
28,2017-10-18 03:34:25.902,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0334 25.902000.mseed,20171018 0334 25.902000.mseed,0
28,2017-10-18 03:34:26.821,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0334 26.821000.mseed,20171018 0334 26.821000.mseed,3
28,2017-10-18 03:34:27.148,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0334 27.148000.mseed,20171018 0334 27.148000.mseed,3
28,2017-10-18 03:34:27.162,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0334 27.162000.mseed,20171018 0334 27.162000.mseed,0
29,2017-10-18 03:36:13.199,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0336 13.199000.mseed,20171018 0336 13.199000.mseed,0
29,2017-10-18 03:36:13.705,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0336 13.705000.mseed,20171018 0336 13.705000.mseed,0
29,2017-10-18 03:36:13.520,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0336 13.520000.mseed,20171018 0336 13.520000.mseed,1
29,2017-10-18 03:36:12.921,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0336 12.921000.mseed,20171018 0336 12.921000.mseed,1
30,2017-10-18 03:40:28.698,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0340 28.698000.mseed,20171018 0340 28.698000.mseed,0
30,2017-10-18 03:40:29.696,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0340 29.696000.mseed,20171018 0340 29.696000.mseed,0
30,2017-10-18 03:40:30.061,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0340 30.061000.mseed,20171018 0340 30.061000.mseed,0
30,2017-10-18 03:40:30.266,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0340 30.266000.mseed,20171018 0340 30.266000.mseed,0
31,2017-10-18 03:41:06.343,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0341 06.343000.mseed,20171018 0341 06.343000.mseed,3
31,2017-10-18 03:41:06.637,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0341 06.637000.mseed,20171018 0341 06.637000.mseed,0
31,2017-10-18 03:41:06.787,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0341 06.787000.mseed,20171018 0341 06.787000.mseed,0
31,2017-10-18 03:41:06.876,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0341 06.876000.mseed,20171018 0341 06.876000.mseed,0
32,2017-10-18 03:48:06.090,REND,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\REND\20171018 0348 06.090000.mseed,20171018 0348 06.090000.mseed,0
32,2017-10-18 03:48:05.792,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0348 05.792000.mseed,20171018 0348 05.792000.mseed,0
32,2017-10-18 03:48:05.478,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0348 05.478000.mseed,20171018 0348 05.478000.mseed,3
32,2017-10-18 03:48:04.554,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0348 04.554000.mseed,20171018 0348 04.554000.mseed,1
32,2017-10-18 03:48:05.780,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0348 05.780000.mseed,20171018 0348 05.780000.mseed,0
33,2017-10-18 03:56:15.843,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0356 15.843000.mseed,20171018 0356 15.843000.mseed,1
33,2017-10-18 03:56:16.847,TMKS,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\TMKS\20171018 0356 16.847000.mseed,20171018 0356 16.847000.mseed,0
33,2017-10-18 03:56:17.144,PSAG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\PSAG\20171018 0356 17.144000.mseed,20171018 0356 17.144000.mseed,1
33,2017-10-18 03:56:17.287,YHKR,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\YHKR\20171018 0356 17.287000.mseed,20171018 0356 17.287000.mseed,0
34,2017-10-18 04:01:01.335,ABNG,EHZ,D:\Project\pick-agung\join_output\filtering_0-0Hz_resample_50Hz_duration_20second\ABNG\20171018 0401 01.335000.mseed,20171018 0401 01.335000.mseed,0
